House Number,Neighborhood,Household Income,House Size (sqf),House Market Value,Family Size,Identified Race,Swimming Pool,Ownership
1,Rosedale,126058,2601,1135592,3,White,No,Rent
2,Huntington,117876,1836,1061731,1,Black,No,Own
3,Kingsley,115366,4528,983513,7,Other,No,Own
4,Ashford,43403,4811,647404,2,Hispanic,No,Own
5,Maplewood,110052,4263,1417394,6,Hispanic,No,Own
6,Maplewood,245699,1942,510685,1,Black,Yes,Own
7,Maplewood,103495,2555,367590,7,Other,No,Rent
8,Huntington,193004,2429,224809,1,Asian,No,Own
9,Kingsley,126090,1562,626251,4,Hispanic,No,Own
10,Kingsley,66701,4757,470425,2,Other,No,Own
11,Maplewood,164457,1357,782622,2,Other,No,Own
12,Huntington,87241,1639,111160,7,White,No,Own
13,Huntington,171439,802,465020,4,Black,Yes,Rent
14,Maplewood,95030,1851,107543,4,Other,No,Own
15,Maplewood,207577,2204,993643,1,Asian,No,Rent
16,Maplewood,194404,956,1099666,3,Hispanic,No,Rent
17,Rosedale,246250,2737,1296869,7,White,No,Rent
18,Ashford,237397,1310,496539,4,Asian,No,Own
19,Rosedale,196340,4204,938537,2,Hispanic,No,Own
20,Rosedale,247558,1937,1387489,7,Black,No,Own
21,Kingsley,186635,4714,1486871,2,Asian,No,Own
22,Maplewood,135185,4121,1477688,1,Hispanic,Yes,Rent
23,Rosedale,66404,1514,950262,7,White,No,Own
24,Rosedale,85182,3086,1287978,3,Hispanic,No,Own
25,Ashford,62991,3454,1323801,5,Other,No,Own
26,Kingsley,134601,1790,895043,7,White,Yes,Own
27,Maplewood,208735,2960,376016,4,Asian,No,Own
28,Ashford,95886,2944,935887,4,Black,No,Own
29,Ashford,152002,2863,921362,1,White,No,Rent
30,Maplewood,113848,3403,1211290,6,White,No,Own
31,Kingsley,185199,2777,749194,6,White,No,Own
32,Maplewood,87692,1175,1106298,3,Hispanic,No,Own
33,Maplewood,67500,1541,1066220,2,Other,No,Own
34,Huntington,63785,3467,1148991,2,Black,No,Own
35,Huntington,114146,2040,700729,5,Black,No,Rent
36,Huntington,77997,4270,736024,2,Other,No,Own
37,Rosedale,37170,3167,695067,6,Hispanic,No,Own
38,Maplewood,174375,3043,1116646,6,Hispanic,Yes,Rent
39,Kingsley,101743,4349,204448,4,Other,No,Rent
40,Rosedale,238924,1217,372032,5,Other,Yes,Own
41,Maplewood,65187,1406,1324947,3,Asian,No,Own
42,Ashford,226106,1367,1273366,5,Hispanic,No,Rent
43,Maplewood,232848,1343,293786,7,White,No,Own
44,Huntington,162965,1683,1145358,3,Black,No,Own
45,Rosedale,174825,2023,1164511,6,Hispanic,No,Own
46,Kingsley,68090,3693,442775,2,Other,No,Own
47,Rosedale,225994,2868,1094233,1,White,No,Own
48,Ashford,237840,4509,625608,5,Asian,No,Own
49,Ashford,89412,2586,408176,5,Asian,No,Own
50,Maplewood,86030,2257,702051,4,White,No,Rent
51,Huntington,47509,2714,1035411,4,White,No,Own
